Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,99.44059073618259,99.22498825739784,99.5992456388496,99.41176470588235
Random Forest,99.82098903557844,99.81140971239981,99.81140971239981,99.81140971239981
KNN,60.56164690087268,99.31224209078404,17.02027345591702,29.06017307305293
Neural Network,98.23226672633699,98.16037735849056,98.1140971239981,98.13723178495638
