Model,Accuracy,Accuracy (%)
Random Forest,0.9982098903557843,99.82098903557844
Logistic Regression,0.9944059073618259,99.44059073618259
Neural Network,0.9823226672633699,98.23226672633699
KNN,0.6056164690087268,60.56164690087268
